Project|commit|codeLink|CWE ID|CVE ID|future_commit_id
ImageMagick|c111ed9b035532c2c81ea569f2d22fded9517287|https://github.com/ImageMagick/ImageMagick/commit/c111ed9b035532c2c81ea569f2d22fded9517287|CWE-125|CVE-2019-11598|7dbf5b259e39e76197035e1e58d8392d4712d1b1
ImageMagick|c1cf4802653970c050d175a6496fa1f11b7c089e|https://github.com/ImageMagick/ImageMagick/commit/c1cf4802653970c050d175a6496fa1f11b7c089e|CWE-190|CVE-2016-6823|07947e82daccc308f815e36e4cb825ee1c3ac8b4
ImageMagick|c9c4ef4e7ca83d8a00effd16723f37946e89fbad|https://github.com/ImageMagick/ImageMagick/commit/c9c4ef4e7ca83d8a00effd16723f37946e89fbad|CWE-772|CVE-2018-18544|112675fe4dbc70b73f6b063d2312f453b5e700f7
ImageMagick|cb63560ba25e4a6c51ab282538c24877fff7d471|https://github.com/ImageMagick/ImageMagick/commit/cb63560ba25e4a6c51ab282538c24877fff7d471|CWE-400|CVE-2017-14137|06ccb0ccdcca8219862a05c5589329903473235f
ImageMagick|d0a4c1ff333d60984a5d6bdfd98774bfdd8a7cba|https://github.com/ImageMagick/ImageMagick/commit/d0a4c1ff333d60984a5d6bdfd98774bfdd8a7cba|CWE-125|CVE-2017-11639|65b7c57502bb2b6d22f607383e87cc3eaed94014
ImageMagick|d3144a8be81aed6e635de68f0d8e97881638a398|https://github.com/ImageMagick/ImageMagick/commit/d3144a8be81aed6e635de68f0d8e97881638a398|CWE-772|CVE-2017-18029|a43f4155ee916fbed080acd534232a9d2396b5b5
ImageMagick|d44f8a35558951a21367d306a42e5a097f3a43fe|https://github.com/ImageMagick/ImageMagick/commit/d44f8a35558951a21367d306a42e5a097f3a43fe|CWE-190|CVE-2020-27759|7b058696133c6d36e0b48a454e357482db71982e
ImageMagick|df8a62fe4938aa41a39e815937c58bc0ed21b664|https://github.com/ImageMagick/ImageMagick/commit/df8a62fe4938aa41a39e815937c58bc0ed21b664|CWE-772|CVE-2018-18016|284cc352cee41a2df151a7f1a1caa63a5ae7abed
ImageMagick|e5fd9ab1b70b2edd06de8efb606e04482cb9a2f0|https://github.com/ImageMagick/ImageMagick/commit/e5fd9ab1b70b2edd06de8efb606e04482cb9a2f0|CWE-787|CVE-2016-8707|32a3eeb9e0da083cbc05909e4935efdbf9846df9
ImageMagick|e88532bd4418e95b70cbc415fe911d22ab27a5fd|https://github.com/ImageMagick/ImageMagick/commit/e88532bd4418e95b70cbc415fe911d22ab27a5fd|CWE-190|CVE-2020-27757|f60d59cc3a7e3402d403361e0985ffa56f746a82
ImageMagick|e9728345edd0141b4724e54832103055a94708b8|https://github.com/ImageMagick/ImageMagick/commit/e9728345edd0141b4724e54832103055a94708b8|CWE-834|CVE-2017-11188|a09307224c224a12739587bc5bd38681b1557a35
ImageMagick|ece953bbe14e8514afc23e05e4030eea872e29da|https://github.com/ImageMagick/ImageMagick/commit/ece953bbe14e8514afc23e05e4030eea872e29da|CWE-772|CVE-2017-17881|e55dc76263d03dafe5cb43bd7a0d7673f09214d4
ImageMagick|ee3dae8624e69261760754442827aea4d0254a6f|https://github.com/ImageMagick/ImageMagick/commit/ee3dae8624e69261760754442827aea4d0254a6f|CWE-665|CVE-2019-12979|42ddb98ee68ac63f2df5f80bc631ec3c289b2a5c
ImageMagick|f0a8d407b2801174fd8923941a9e7822f7f9a506|https://github.com/ImageMagick/ImageMagick/commit/f0a8d407b2801174fd8923941a9e7822f7f9a506|CWE-190|CVE-2020-27758|eb0882667cddc4ea71b61a583a782c430220faf4
